,bin,subfield_name,first_author,author_corresponding,counts,work_citedby
0,0,Accounting,10,4,28,1775
1,0,Aging,3,3,14,1007
2,0,Agronomy and Crop Science,0,0,5,286
3,0,Anatomy,1,1,1,71
4,0,Anesthesiology and Pain Medicine,3,1,12,370
5,0,Animal Science and Zoology,0,0,2,16
6,0,Anthropology,4,4,4,2
7,0,Applied Mathematics,2,1,2,15
8,0,Applied Microbiology and Biotechnology,2,3,4,403
9,0,Applied Psychology,0,0,4,220
10,0,Archeology,1,1,1,0
11,0,Architecture,1,1,1,12
12,0,Artificial Intelligence,4,2,7,147
13,0,Astronomy and Astrophysics,2,1,6,25
14,0,Atmospheric Science,0,1,4,168
15,0,"Atomic and Molecular Physics, and Optics",10,4,53,4013
16,0,Automotive Engineering,1,2,4,426
17,0,Behavioral Neuroscience,18,8,51,10335
18,0,Biochemistry,7,2,50,4316
19,0,Biological Psychiatry,6,2,13,2391
20,0,Biomaterials,1,1,15,1572
21,0,Biomedical Engineering,14,11,36,1561
22,0,Biophysics,1,1,1,3
23,0,Biotechnology,1,3,9,685
24,0,Building and Construction,2,0,2,6
25,0,Business and International Management,1,1,1,61
26,0,Cancer Research,7,8,47,3244
27,0,Cardiology and Cardiovascular Medicine,41,13,185,9565
28,0,Catalysis,1,0,3,120
29,0,Cell Biology,17,7,55,5693
30,0,Cellular and Molecular Neuroscience,34,26,153,12631
31,0,Chemical Health and Safety,0,0,1,1
32,0,Civil and Structural Engineering,0,0,1,0
33,0,Clinical Biochemistry,4,3,17,957
34,0,Clinical Psychology,38,10,88,13092
35,0,Cognitive Neuroscience,35,20,68,4844
36,0,Communication,0,0,1,73
37,0,Complementary and alternative medicine,0,0,5,170
38,0,Computational Mechanics,2,1,6,58
39,0,Computational Theory and Mathematics,6,2,16,144
40,0,Computer Networks and Communications,11,7,41,879
41,0,Computer Vision and Pattern Recognition,4,0,5,248
42,0,Condensed Matter Physics,13,9,14,302
43,0,Critical Care and Intensive Care Medicine,3,2,5,73
44,0,Cultural Studies,5,4,5,281
45,0,Dermatology,8,6,16,659
46,0,Developmental Biology,1,1,3,46
47,0,Developmental Neuroscience,6,0,24,1843
48,0,Developmental and Educational Psychology,10,4,22,5466
49,0,Discrete Mathematics and Combinatorics,6,5,20,719
50,0,Earth-Surface Processes,0,0,1,56
51,0,Ecology,13,10,26,1259
52,0,"Ecology, Evolution, Behavior and Systematics",0,1,3,62
53,0,Economics and Econometrics,51,29,106,4029
54,0,Education,7,3,11,1470
55,0,Electrical and Electronic Engineering,6,0,22,575
56,0,Electrochemistry,0,0,5,363
57,0,"Electronic, Optical and Magnetic Materials",0,0,6,678
58,0,Emergency Medical Services,4,3,11,149
59,0,Emergency Medicine,13,7,33,880
60,0,Endocrine and Autonomic Systems,7,4,39,2737
61,0,Endocrinology,3,2,17,1274
62,0,"Endocrinology, Diabetes and Metabolism",26,14,75,6363
63,0,Environmental Chemistry,0,0,3,185
64,0,Environmental Engineering,1,2,2,0
65,0,Epidemiology,63,37,229,23202
66,0,Experimental and Cognitive Psychology,15,9,33,3202
67,0,Finance,20,8,38,3676
68,0,Fluid Flow and Transfer Processes,0,0,1,188
69,0,Food Science,3,2,12,1531
70,0,Gastroenterology,7,4,16,442
71,0,Gender Studies,11,8,16,458
72,0,General Decision Sciences,4,2,6,55
73,0,"General Economics, Econometrics and Finance",7,6,21,811
74,0,General Health Professions,51,27,117,10466
75,0,General Psychology,3,2,4,68
76,0,Genetics,49,17,170,13273
77,0,"Geography, Planning and Development",2,1,2,11
78,0,Geometry and Topology,2,1,3,251
79,0,Geriatrics and Gerontology,2,0,7,32
80,0,Global and Planetary Change,2,1,5,3619
81,0,Hardware and Architecture,0,0,1,1
82,0,Health,12,8,36,1036
83,0,"Health, Toxicology and Mutagenesis",15,15,42,3721
84,0,Hematology,40,20,140,6975
85,0,Hepatology,3,1,40,3584
86,0,History,6,5,6,72
87,0,History and Philosophy of Science,2,2,2,3
88,0,Immunology,45,23,215,28852
89,0,Immunology and Allergy,3,3,26,2264
90,0,Infectious Diseases,16,14,103,7850
91,0,Information Systems,1,1,2,27
92,0,Information Systems and Management,3,1,4,31
93,0,Inorganic Chemistry,5,4,17,583
94,0,Insect Science,1,0,2,15
95,0,Internal Medicine,1,1,3,118
96,0,"Issues, ethics and legal aspects",3,1,4,131
97,0,Law,9,7,9,66
98,0,Linguistics and Language,1,0,1,1
99,0,Literature and Literary Theory,1,1,1,2
100,0,Management Information Systems,3,1,3,918
101,0,Management Science and Operations Research,7,5,8,730
102,0,Management of Technology and Innovation,11,9,16,191
103,0,"Management, Monitoring, Policy and Law",1,1,1,0
104,0,Marketing,5,2,10,705
105,0,Materials Chemistry,11,12,85,9135
106,0,Mathematical Physics,2,0,2,2
107,0,Mechanics of Materials,2,0,4,43
108,0,Media Technology,2,1,2,61
109,0,Medical Laboratory Technology,0,0,1,0
110,0,Microbiology,2,5,41,3375
111,0,Modeling and Simulation,0,0,1,31
112,0,Molecular Biology,146,96,543,41350
113,0,Molecular Medicine,1,4,7,1787
114,0,Music,5,4,6,378
115,0,Nature and Landscape Conservation,3,2,4,69
116,0,Nephrology,9,5,18,1955
117,0,Neurology,42,24,148,24445
118,0,Numerical Analysis,1,1,1,74
119,0,Nutrition and Dietetics,12,9,50,3835
120,0,Obstetrics and Gynecology,4,2,12,225
121,0,Oceanography,0,0,1,52
122,0,Oncology,31,18,120,8207
123,0,Ophthalmology,15,7,45,1517
124,0,Organic Chemistry,16,6,69,1988
125,0,Organizational Behavior and Human Resource Management,12,5,16,1646
126,0,Orthopedics and Sports Medicine,2,0,4,148
127,0,Otorhinolaryngology,6,2,16,1069
128,0,Paleontology,0,0,1,86
129,0,Parasitology,4,4,7,133
130,0,Pathology and Forensic Medicine,27,7,103,5707
131,0,"Pediatrics, Perinatology and Child Health",50,28,108,11734
132,0,Periodontics,2,1,4,28
133,0,Pharmaceutical Science,3,1,7,120
134,0,Pharmacology,14,10,46,2742
135,0,Pharmacy,5,5,9,741
136,0,Philosophy,7,6,8,57
137,0,"Physical Therapy, Sports Therapy and Rehabilitation",2,0,6,863
138,0,Physical and Theoretical Chemistry,0,0,1,177
139,0,Physiology,31,17,125,18382
140,0,Plant Science,6,6,11,472
141,0,Political Science and International Relations,45,39,58,1670
142,0,Psychiatry and Mental health,20,9,61,4071
143,0,Public Administration,1,1,1,2
144,0,"Public Health, Environmental and Occupational Health",43,19,114,5379
145,0,Pulmonary and Respiratory Medicine,28,14,115,9233
146,0,Radiation,1,0,6,587
147,0,Radiological and Ultrasound Technology,0,0,1,186
148,0,"Radiology, Nuclear Medicine and Imaging",19,9,127,3814
149,0,Rehabilitation,3,2,22,3266
150,0,Religious studies,2,2,2,2
151,0,"Renewable Energy, Sustainability and the Environment",1,0,4,88
152,0,Reproductive Medicine,4,1,11,880
153,0,Rheumatology,13,6,29,1064
154,0,Safety Research,6,4,18,2215
155,0,Sensory Systems,8,0,19,1708
156,0,Signal Processing,1,1,3,9
157,0,Small Animals,3,1,3,28
158,0,Social Psychology,34,21,80,14174
159,0,Sociology and Political Science,46,28,63,2436
160,0,Spectroscopy,4,1,22,4226
161,0,Speech and Hearing,4,1,9,11
162,0,Statistical and Nonlinear Physics,3,0,4,105
163,0,Statistics and Probability,11,5,23,467
164,0,"Statistics, Probability and Uncertainty",3,1,8,368
165,0,Strategy and Management,9,8,13,3543
166,0,Structural Biology,3,2,5,69
167,0,"Surfaces, Coatings and Films",1,1,5,15
168,0,Surgery,71,31,218,11462
169,0,"Tourism, Leisure and Hospitality Management",1,1,1,43
170,0,Toxicology,5,2,13,281
171,0,Transplantation,4,1,29,2509
172,0,Urban Studies,2,2,2,138
173,0,Urology,4,1,14,877
174,0,Virology,19,12,90,6764
175,1,Accounting,19,9,39,2387
176,1,Aerospace Engineering,4,1,4,11
177,1,Aging,11,4,26,844
178,1,Agronomy and Crop Science,1,1,1,2
179,1,Algebra and Number Theory,1,1,1,0
180,1,Analytical Chemistry,0,0,8,326
181,1,Anatomy,1,1,1,0
182,1,Anesthesiology and Pain Medicine,3,2,9,145
183,1,Animal Science and Zoology,3,1,4,67
184,1,Anthropology,10,10,10,60
185,1,Applied Mathematics,9,10,13,222
186,1,Applied Microbiology and Biotechnology,1,1,2,60
187,1,Applied Psychology,3,2,7,62
188,1,Archeology,3,1,3,2
189,1,Artificial Intelligence,13,2,38,1740
190,1,Astronomy and Astrophysics,2,2,3,0
191,1,Atmospheric Science,1,0,8,120
192,1,"Atomic and Molecular Physics, and Optics",12,3,60,2666
193,1,Behavioral Neuroscience,20,12,74,12061
194,1,Biochemistry,13,6,71,4711
195,1,Biological Psychiatry,5,1,33,9902
196,1,Biomaterials,9,3,53,15643
197,1,Biomedical Engineering,19,14,52,2913
198,1,Biophysics,2,1,7,319
199,1,Biotechnology,4,2,23,1472
200,1,Building and Construction,1,1,1,4
201,1,Cancer Research,18,10,88,5513
202,1,Cardiology and Cardiovascular Medicine,82,37,327,15652
203,1,Catalysis,1,0,3,136
204,1,Cell Biology,12,13,96,9317
205,1,Cellular and Molecular Neuroscience,53,23,213,17178
206,1,Chemical Health and Safety,1,0,1,0
207,1,Civil and Structural Engineering,0,0,2,4
208,1,Classics,2,2,2,1
209,1,Clinical Biochemistry,5,6,20,1573
210,1,Clinical Psychology,29,19,122,14713
211,1,Cognitive Neuroscience,36,19,100,12890
212,1,Communication,5,5,10,91
213,1,Complementary and alternative medicine,2,1,6,379
214,1,Computational Mechanics,1,0,3,52
215,1,Computational Theory and Mathematics,10,4,14,142
216,1,Computer Graphics and Computer-Aided Design,1,1,2,0
217,1,Computer Networks and Communications,9,7,30,89
218,1,Computer Vision and Pattern Recognition,4,1,21,410
219,1,Condensed Matter Physics,7,4,8,28
220,1,Control and Systems Engineering,1,1,2,0
221,1,Critical Care and Intensive Care Medicine,9,4,16,789
222,1,Cultural Studies,4,4,5,132
223,1,Demography,0,0,4,229
224,1,Dermatology,5,4,23,898
225,1,Development,1,1,1,0
226,1,Developmental Biology,4,0,7,738
227,1,Developmental Neuroscience,9,10,22,1683
228,1,Developmental and Educational Psychology,20,10,35,3231
229,1,Discrete Mathematics and Combinatorics,14,7,37,1535
230,1,Earth-Surface Processes,1,1,3,41
231,1,Ecology,10,6,15,928
232,1,"Ecology, Evolution, Behavior and Systematics",7,3,9,326
233,1,Economics and Econometrics,79,54,139,4663
234,1,Education,15,8,19,1488
235,1,Electrical and Electronic Engineering,2,1,21,1039
236,1,Electrochemistry,0,0,1,20
237,1,"Electronic, Optical and Magnetic Materials",4,1,11,535
238,1,Emergency Medical Services,8,4,28,569
239,1,Emergency Medicine,22,14,45,1239
240,1,Endocrine and Autonomic Systems,4,4,29,1514
241,1,Endocrinology,7,6,19,805
242,1,"Endocrinology, Diabetes and Metabolism",55,22,149,9009
243,1,Environmental Chemistry,3,0,5,116
244,1,Environmental Engineering,1,0,3,25
245,1,Epidemiology,104,64,467,31691
246,1,Experimental and Cognitive Psychology,22,14,49,5536
247,1,Family Practice,3,2,9,1228
248,1,Finance,23,8,38,3177
249,1,Food Science,1,2,7,123
250,1,Gastroenterology,3,3,8,460
251,1,Gender Studies,10,3,19,513
252,1,General Decision Sciences,6,0,10,719
253,1,General Dentistry,1,1,1,0
254,1,"General Economics, Econometrics and Finance",24,10,39,935
255,1,General Energy,1,1,1,2
256,1,General Health Professions,63,29,170,9583
257,1,General Psychology,1,0,1,0
258,1,General Social Sciences,1,1,1,36
259,1,Genetics,80,43,354,43331
260,1,"Geography, Planning and Development",6,1,6,0
261,1,Geology,1,0,1,0
262,1,Geometry and Topology,3,2,6,36
263,1,Geriatrics and Gerontology,1,1,5,561
264,1,Global and Planetary Change,3,2,7,3866
265,1,Hardware and Architecture,0,0,4,4
266,1,Health,21,13,73,3616
267,1,Health Information Management,6,3,7,109
268,1,"Health, Toxicology and Mutagenesis",14,13,60,6020
269,1,Hematology,72,42,313,9849
270,1,Hepatology,8,6,35,2897
271,1,History,18,17,19,19
272,1,History and Philosophy of Science,2,2,4,675
273,1,Human-Computer Interaction,1,0,2,231
274,1,Immunology,60,35,315,28615
275,1,Immunology and Allergy,4,2,21,719
276,1,Industrial and Manufacturing Engineering,2,2,2,4
277,1,Infectious Diseases,52,30,202,17031
278,1,Information Systems,5,3,21,1506
279,1,Information Systems and Management,4,3,5,28
280,1,Inorganic Chemistry,6,4,19,946
281,1,Insect Science,4,2,4,1
282,1,Internal Medicine,0,0,4,872
283,1,"Issues, ethics and legal aspects",0,0,2,4
284,1,Language and Linguistics,0,0,2,528
285,1,Law,27,25,31,283
286,1,Linguistics and Language,1,0,1,0
287,1,Literature and Literary Theory,5,5,6,46
288,1,Management Information Systems,10,6,19,868
289,1,Management Science and Operations Research,17,11,31,682
290,1,Management of Technology and Innovation,6,6,7,894
291,1,"Management, Monitoring, Policy and Law",4,2,5,1201
292,1,Marketing,9,5,18,413
293,1,Materials Chemistry,17,12,111,12285
294,1,Mathematical Physics,2,1,3,20
295,1,Mechanical Engineering,3,1,4,57
296,1,Mechanics of Materials,1,1,1,1
297,1,Media Technology,2,1,7,71
298,1,Microbiology,19,10,62,4033
299,1,Modeling and Simulation,2,1,10,454
300,1,Molecular Biology,203,120,982,78824
301,1,Molecular Medicine,3,1,15,2611
302,1,Music,2,2,4,300
303,1,Nature and Landscape Conservation,1,1,2,47
304,1,Nephrology,28,15,63,5021
305,1,Neurology,106,59,283,28830
306,1,Nuclear and High Energy Physics,0,0,1,218
307,1,Nutrition and Dietetics,18,11,93,10794
308,1,Obstetrics and Gynecology,7,4,12,534
309,1,Occupational Therapy,1,1,1,1
310,1,Ocean Engineering,1,0,5,146
311,1,Oceanography,1,1,2,3
312,1,Oncology,47,28,226,12503
313,1,Ophthalmology,26,7,82,2958
314,1,Oral Surgery,1,0,6,772
315,1,Organic Chemistry,16,11,85,2731
316,1,Organizational Behavior and Human Resource Management,10,5,15,1573
317,1,Orthopedics and Sports Medicine,2,1,3,13
318,1,Otorhinolaryngology,19,9,43,3882
319,1,Paleontology,1,1,3,202
320,1,Parasitology,1,2,4,133
321,1,Pathology and Forensic Medicine,33,12,170,7964
322,1,"Pediatrics, Perinatology and Child Health",68,30,198,13780
323,1,Pharmaceutical Science,0,0,12,317
324,1,Pharmacology,24,8,70,3354
325,1,Pharmacy,4,3,13,523
326,1,Philosophy,16,14,17,186
327,1,"Physical Therapy, Sports Therapy and Rehabilitation",3,1,9,772
328,1,Physical and Theoretical Chemistry,3,2,11,156
329,1,Physiology,53,24,210,10747
330,1,Plant Science,5,6,29,2201
331,1,Political Science and International Relations,87,63,111,4094
332,1,Pollution,1,1,3,586
333,1,Polymers and Plastics,0,0,3,197
334,1,Psychiatry and Mental health,34,20,138,7240
335,1,Public Administration,5,0,5,0
336,1,"Public Health, Environmental and Occupational Health",72,32,221,12785
337,1,Pulmonary and Respiratory Medicine,66,25,223,17677
338,1,Radiation,10,0,44,467
339,1,Radiological and Ultrasound Technology,2,3,5,79
340,1,"Radiology, Nuclear Medicine and Imaging",57,26,296,13465
341,1,Rehabilitation,12,3,53,5788
342,1,Religious studies,16,16,16,48
343,1,"Renewable Energy, Sustainability and the Environment",1,0,7,634
344,1,Reproductive Medicine,5,3,19,1182
345,1,Rheumatology,16,8,60,2185
346,1,Safety Research,7,2,23,1400
347,1,"Safety, Risk, Reliability and Quality",0,0,1,26
348,1,Sensory Systems,6,5,25,1638
349,1,Signal Processing,1,1,2,11
350,1,Social Psychology,41,23,102,14536
351,1,Sociology and Political Science,72,46,116,9511
352,1,Space and Planetary Science,1,1,1,0
353,1,Spectroscopy,4,1,29,1050
354,1,Speech and Hearing,3,2,8,238
355,1,Statistical and Nonlinear Physics,2,0,8,123
356,1,Statistics and Probability,23,8,49,1905
357,1,"Statistics, Probability and Uncertainty",7,6,11,445
358,1,Strategy and Management,16,11,32,936
359,1,Structural Biology,1,1,3,4
360,1,"Surfaces, Coatings and Films",2,2,2,1
361,1,Surgery,104,65,357,15421
362,1,Toxicology,1,1,4,61
363,1,Transplantation,9,4,20,714
364,1,Urban Studies,1,0,2,2
365,1,Urology,11,5,24,651
366,1,Virology,18,17,146,12552
367,1,Water Science and Technology,4,1,4,43
368,2,Accounting,21,13,41,1459
369,2,Aerospace Engineering,0,0,3,11
370,2,Aging,9,11,44,2163
371,2,Agronomy and Crop Science,0,0,2,12
372,2,Anesthesiology and Pain Medicine,4,2,7,150
373,2,Anthropology,7,5,7,196
374,2,Applied Mathematics,7,4,7,86
375,2,Applied Microbiology and Biotechnology,7,4,10,269
376,2,Applied Psychology,5,0,11,305
377,2,Archeology,6,6,10,37
378,2,Artificial Intelligence,16,10,58,1703
379,2,Astronomy and Astrophysics,6,5,11,239
380,2,Atmospheric Science,5,0,12,422
381,2,"Atomic and Molecular Physics, and Optics",12,8,81,4535
382,2,Automotive Engineering,2,1,5,71
383,2,Behavioral Neuroscience,22,6,77,8273
384,2,Biochemistry,27,13,137,11404
385,2,Biological Psychiatry,17,6,56,15594
386,2,Biomaterials,12,10,88,10825
387,2,Biomedical Engineering,18,9,83,2185
388,2,Biophysics,8,3,38,3505
389,2,Biotechnology,3,2,14,389
390,2,Building and Construction,1,0,1,0
391,2,Business and International Management,1,1,1,906
392,2,Cancer Research,25,28,232,15583
393,2,Cardiology and Cardiovascular Medicine,106,62,529,46606
394,2,Catalysis,0,0,1,49
395,2,Cell Biology,34,14,153,5494
396,2,Cellular and Molecular Neuroscience,56,31,294,26961
397,2,Civil and Structural Engineering,1,1,1,0
398,2,Classics,5,3,5,21
399,2,Clinical Biochemistry,11,7,34,1417
400,2,Clinical Psychology,64,26,260,24383
401,2,Cognitive Neuroscience,82,50,240,27860
402,2,Communication,6,6,16,361
403,2,Complementary and Manual Therapy,2,2,2,56
404,2,Complementary and alternative medicine,1,2,42,2117
405,2,Computational Mechanics,2,1,8,174
406,2,Computational Theory and Mathematics,7,5,30,632
407,2,Computer Networks and Communications,1,1,9,38
408,2,Computer Science Applications,0,0,5,222
409,2,Computer Vision and Pattern Recognition,11,2,23,808
410,2,Condensed Matter Physics,5,1,5,60
411,2,Conservation,1,1,1,0
412,2,Control and Systems Engineering,2,1,2,2
413,2,Critical Care and Intensive Care Medicine,11,4,29,2649
414,2,Cultural Studies,4,4,5,398
415,2,Demography,2,1,6,165
416,2,Dermatology,11,10,39,908
417,2,Development,3,2,3,26
418,2,Developmental Biology,3,1,6,254
419,2,Developmental Neuroscience,4,3,26,1357
420,2,Developmental and Educational Psychology,36,16,61,4309
421,2,Discrete Mathematics and Combinatorics,7,5,32,679
422,2,Earth-Surface Processes,1,1,2,26
423,2,Ecological Modeling,1,1,1,0
424,2,Ecology,10,8,29,1745
425,2,"Ecology, Evolution, Behavior and Systematics",7,1,15,445
426,2,Economics and Econometrics,65,30,141,2670
427,2,Education,14,10,24,854
428,2,Electrical and Electronic Engineering,6,2,21,817
429,2,Electrochemistry,0,0,3,91
430,2,"Electronic, Optical and Magnetic Materials",3,1,10,850
431,2,Emergency Medical Services,11,3,28,1148
432,2,Emergency Medicine,32,17,100,6628
433,2,Endocrine and Autonomic Systems,10,5,40,2558
434,2,Endocrinology,9,7,28,1131
435,2,"Endocrinology, Diabetes and Metabolism",59,26,219,23691
436,2,Environmental Chemistry,4,0,19,3119
437,2,Environmental Engineering,0,0,5,274
438,2,Epidemiology,153,82,717,52516
439,2,Experimental and Cognitive Psychology,29,14,58,4171
440,2,Family Practice,1,0,9,443
441,2,Finance,23,10,38,3483
442,2,Food Science,4,3,18,622
443,2,Gastroenterology,7,4,41,1477
444,2,Gender Studies,18,7,35,1383
445,2,General Agricultural and Biological Sciences,1,1,1,0
446,2,General Decision Sciences,4,3,9,265
447,2,"General Economics, Econometrics and Finance",7,6,18,1471
448,2,General Health Professions,90,32,261,10186
449,2,General Psychology,6,5,6,435
450,2,Genetics,111,90,544,36709
451,2,Geochemistry and Petrology,0,0,1,10
452,2,"Geography, Planning and Development",3,2,3,0
453,2,Geometry and Topology,6,4,11,174
454,2,Geriatrics and Gerontology,1,1,6,219
455,2,Global and Planetary Change,4,2,8,652
456,2,Health,36,13,96,6644
457,2,Health Information Management,3,1,10,657
458,2,"Health, Toxicology and Mutagenesis",22,6,108,5156
459,2,Hematology,112,108,605,20953
460,2,Hepatology,15,6,102,4558
461,2,History,30,25,33,27
462,2,History and Philosophy of Science,5,2,6,103
463,2,Human-Computer Interaction,1,0,6,111
464,2,Immunology,82,61,495,52002
465,2,Immunology and Allergy,6,3,40,952
466,2,Industrial and Manufacturing Engineering,1,1,1,0
467,2,Infectious Diseases,94,43,314,20454
468,2,Information Systems,13,2,38,1223
469,2,Information Systems and Management,2,1,15,65
470,2,Inorganic Chemistry,2,1,17,732
471,2,Insect Science,6,2,13,707
472,2,Internal Medicine,0,0,4,79
473,2,Language and Linguistics,3,3,3,25
474,2,Law,40,35,48,1826
475,2,Life-span and Life-course Studies,1,1,1,0
476,2,Linguistics and Language,0,1,1,35
477,2,Literature and Literary Theory,5,4,9,232
478,2,Management Information Systems,5,0,11,1294
479,2,Management Science and Operations Research,9,3,14,350
